belong,title,url,category,sub_category
Best Seller,Dress & Trouser Socks,https://www.amazon.com/Best-Sellers-Juniors-Dress-Trouser-Socks/zgbs/fashion/9650245011/ref=zg_bs_nav_5_9650243011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Socks & Hosiery"
Best Seller,Casual Socks,https://www.amazon.com/Best-Sellers-Juniors-Casual-Socks/zgbs/fashion/9650244011/ref=zg_bs_nav_5_9650243011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Socks & Hosiery"
Best Seller,Short Sets,https://www.amazon.com/Best-Sellers-Maternity-Short-Sets/zgbs/fashion/5674525011/ref=zg_bs_nav_5_5674523011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Maternity/Clothing Sets"
Best Seller,Pant Sets,https://www.amazon.com/Best-Sellers-Maternity-Pant-Sets/zgbs/fashion/5674524011/ref=zg_bs_nav_5_5674523011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Maternity/Clothing Sets"
Best Seller,Slipper Socks,https://www.amazon.com/Best-Sellers-Womens-Petite-Slipper-Socks/zgbs/fashion/6114096011/ref=zg_bs_nav_5_6114090011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Petite/Socks & Hosiery"
Best Seller,Hosiery,https://www.amazon.com/Best-Sellers-Womens-Petite-Pantyhose/zgbs/fashion/6114095011/ref=zg_bs_nav_5_6114090011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Petite/Socks & Hosiery"
Best Seller,Tights,https://www.amazon.com/Best-Sellers-Womens-Petite-Tights/zgbs/fashion/6114094011/ref=zg_bs_nav_5_6114090011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Petite/Socks & Hosiery"
Best Seller,Prescription Eyewear Frames,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Prescription-Eyewear-Frames/zgbs/fashion/11300735011/ref=zg_bs_nav_6_11300731011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer/Accessories/Sunglasses & Eyewear Accessories"
Best Seller,Sunglasses,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Sunglasses/zgbs/fashion/11300732011/ref=zg_bs_nav_6_11300731011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer/Accessories/Sunglasses & Eyewear Accessories"
Best Seller,Leg Warmers,https://www.amazon.com/Best-Sellers-Womens-Petite-Leg-Warmers/zgbs/fashion/6114093011/ref=zg_bs_nav_5_6114090011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Petite/Socks & Hosiery"
Best Seller,Dress & Trouser Socks,https://www.amazon.com/Best-Sellers-Womens-Petite-Dress-Trouser-Socks/zgbs/fashion/6114092011/ref=zg_bs_nav_5_6114090011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Petite/Socks & Hosiery"
Best Seller,Wear to Work,https://www.amazon.com/Best-Sellers-Juniors-Wear-Work-Blazers-Jackets/zgbs/fashion/9650256011/ref=zg_bs_nav_6_9650253011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Suits & Blazers/Blazers"
Best Seller,Casual,https://www.amazon.com/Best-Sellers-Juniors-Casual-Blazers-Jackets/zgbs/fashion/9650254011/ref=zg_bs_nav_6_9650253011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Suits & Blazers/Blazers"
